"Source:","/Volumes/8TB1/Z80/HC/HC-2000/HC2000-GIT/HC2000.kicad_sch"
"Date:","2023 July 23, Sunday 23:11:08"
"Tool:","Eeschema 7.0.1-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","264"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Alt","Sim.Device","Sim.Pins"
"1","2","C1, C3","100n","HC2000:C-EU025-025X050","HC2000:C025-030X050","","","","",""
"2","1","C2","4n7","HC2000:C-EU025-030X050","HC2000:C025-030X050","","","","",""
"3","1","C4","4,7uF","HC2000:CPOL-EU140CLH-0810","HC2000:C025-024X044","","","","",""
"4","2","C5, C11","270p","HC2000:C-EU025-030X050","HC2000:C025-030X050","","","","",""
"5","2","C6, C8","-","HC2000:C-EU025-025X050","HC2000:C025-030X050","","","","",""
"6","1","C7","15p","HC2000:C-EU025-025X050","HC2000:C025-030X050","","","","",""
"7","1","C9","220p","HC2000:C-EU025-025X050","HC2000:C025-030X050","","","","",""
"8","1","C10","270p","HC2000:C-EU025-024X044","HC2000:C025-024X044","","","","",""
"9","4","C12, C13, C16, C17","4n7","HC2000:C-EU025-025X050","HC2000:C025-025X050","","","","",""
"10","1","C14","180p","HC2000:C-EU025-025X050","HC2000:C025-030X050","","","","",""
"11","1","C15","10u","HC2000:CPOL-EU140CLH-1010","HC2000:C025-024X024","","","","",""
"12","25","CD1, CD6, CD9, CD11, CD13, CD15, CD16, CD17, CD19, CD20, CD21, CD22, CD24, CD25, CD26, CD27, CD30, CD31, CD32, CD33, CD35, CD36, CD37, CD39, CD40","u1","HC2000:C-EU025-024X044","HC2000:C025-024X044","","","","",""
"13","10","CD2, CD4, CD7, CD8, CD10, CD14, CD28, CD29, CD34, CD38","-","HC2000:C-EU025-024X044","HC2000:C025-024X044","","","","",""
"14","5","CD3, CD5, CD12, CD18, CD23","100u","HC2000:C-EU025-024X044","HC2000:C025-024X044","","","","",""
"15","1","CT0","10-60pF","HC2000:C-TRIMM808","HC2000:CTRIM808-BC","","","","",""
"16","1","CX0","100u","HC2000:CPOL-EU140CLH-0810","HC2000:C025-024X044","","","","",""
"17","1","CY1","1.5u","HC2000:CPOL-EU140CLH-1010","HC2000:140CLH-1010","","","","",""
"18","8","D1, D2, D3, D4, D5, D6, D7, D8","1N4148","HC2000:1N4148DO35-10","HC2000:DO35-10","","","","",""
"19","1","DX1","1N4148","HC2000:1N4148DO35-7","HC2000:DO35-7","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","D","1=K 2=A"
"20","1","J1","VIDEO","HC2000:F09FD","HC2000:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","","","","",""
"21","1","J2","JOYSTICK","HC2000:F09MD","HC2000:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","","","","",""
"22","1","J3","Mic_Jack","HC2000:Audio-Jack-3_2Switches","HC2000:Tayda_3.5mm_stereo_TRS_jack_A-853","~","","","",""
"23","2","J4, J10","Jack-DC","HC2000:Jack-DC","HC2000:BarrelJack_Wuerth_6941xx301002","~","","","",""
"24","1","J5","RS232 + RETEA","HC2000:F09FD","HC2000:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","","","","",""
"25","1","J6",".","HC2000:HC-POWER","HC2000:HC-POWER","","","","",""
"26","2","J7, J8","FDD-CON","HC2000:PINHD-2X17","HC2000:2X17","","","","",""
"27","1","J9",".","HC2000:MTA04-100","HC2000:10X04MTA","","","","",""
"28","1","J11","Conn_02x10_Counter_Clockwise","HC2000:Conn_02x10_Counter_Clockwise","HC2000:PinHeader_2x10_P2.54mm_Vertical","~","","","",""
"29","1","J12","Ear_Jack","HC2000:Audio-Jack-3_2Switches","HC2000:Tayda_3.5mm_stereo_TRS_jack_A-853","~","","","",""
